[29-Jun-2022 22:03:50 PRC] PHP Warning:  chmod(): Operation not permitted in /usr/local/httpd/baixiu/admin/api/upload.php on line 62
[29-Jun-2022 22:15:46 PRC] PHP Warning:  mkdir(): Permission denied in /usr/local/httpd/baixiu/admin/api/upload.php on line 61
[29-Jun-2022 22:15:46 PRC] PHP Warning:  move_uploaded_file(./upload/62bc5e92f164a.jpg): failed to open stream: No such file or directory in /usr/local/httpd/baixiu/admin/api/upload.php on line 75
[29-Jun-2022 22:15:46 PRC] PHP Warning:  move_uploaded_file(): Unable to move '/tmp/phptrxs10' to './upload/62bc5e92f164a.jpg' in /usr/local/httpd/baixiu/admin/api/upload.php on line 75
[29-Jun-2022 22:16:30 PRC] PHP Warning:  mkdir(): Permission denied in /usr/local/httpd/baixiu/admin/api/upload.php on line 61
[29-Jun-2022 22:16:30 PRC] PHP Warning:  move_uploaded_file(./upload/62bc5ebe53f0d.jpg): failed to open stream: No such file or directory in /usr/local/httpd/baixiu/admin/api/upload.php on line 75
[29-Jun-2022 22:16:30 PRC] PHP Warning:  move_uploaded_file(): Unable to move '/tmp/phpHXUdsn' to './upload/62bc5ebe53f0d.jpg' in /usr/local/httpd/baixiu/admin/api/upload.php on line 75
[29-Jun-2022 23:14:32 PRC] PHP Warning:  mkdir(): No such file or directory in /usr/local/httpd/baixiu/admin/api/upload.php on line 61
[29-Jun-2022 23:14:32 PRC] PHP Warning:  move_uploaded_file(/baixiu/uploads/62bc6c58216f2.jpg): failed to open stream: No such file or directory in /usr/local/httpd/baixiu/admin/api/upload.php on line 75
[29-Jun-2022 23:14:32 PRC] PHP Warning:  move_uploaded_file(): Unable to move '/tmp/phpOkozsW' to '/baixiu/uploads/62bc6c58216f2.jpg' in /usr/local/httpd/baixiu/admin/api/upload.php on line 75
[29-Jun-2022 23:16:23 PRC] PHP Warning:  mkdir(): No such file or directory in /usr/local/httpd/baixiu/admin/api/upload.php on line 61
[29-Jun-2022 23:16:23 PRC] PHP Warning:  move_uploaded_file(../../../uploads62bc6cc745462.jpg): failed to open stream: Permission denied in /usr/local/httpd/baixiu/admin/api/upload.php on line 75
